Modelo,Accuracy,Precision,Recall,F1,Tiempo (s),hidden_layer_sizes,learning_rate_init,alpha
"MLP_BASE | hls=(100,) lr=0.001 a=0.0001",0.8906,0.5563,0.3207,0.4069,53.92,"(100,)",0.001,0.0001
"MLP_exp05 | hls=(100,) lr=0.001 a=0.0001",0.8906,0.5563,0.3207,0.4069,30.27,"(100,)",0.001,0.0001
"MLP_exp06 | hls=(100,) lr=0.01 a=0.001",0.889,0.5467,0.3025,0.3895,13.98,"(100,)",0.01,0.001
"MLP_exp09 | hls=(200,) lr=0.01 a=0.0001",0.8798,0.4798,0.3214,0.3849,33.87,"(200,)",0.01,0.0001
"MLP_exp07 | hls=(200,) lr=0.0001 a=0.001",0.8942,0.605,0.276,0.3791,84.92,"(200,)",0.0001,0.001
"MLP_exp02 | hls=(50,) lr=0.001 a=0.001",0.8954,0.6329,0.252,0.3605,10.51,"(50,)",0.001,0.001
"MLP_exp01 | hls=(50,) lr=0.0001 a=0.0001",0.8951,0.6541,0.2193,0.3285,17.53,"(50,)",0.0001,0.0001
"MLP_exp03 | hls=(50,) lr=0.01 a=0.01",0.8937,0.6381,0.2111,0.3172,1.95,"(50,)",0.01,0.01
"MLP_exp08 | hls=(200,) lr=0.001 a=0.01",0.8909,0.595,0.2111,0.3116,77.42,"(200,)",0.001,0.01
"MLP_exp04 | hls=(100,) lr=0.0001 a=0.01",0.895,0.6783,0.1953,0.3033,52.45,"(100,)",0.0001,0.01
